name,seed,F1@5,Precision@5,Recall@5,NDCG@5,PSP@5,PSDCG@5,MAP@5,F1@10,Precision@10,Recall@10,NDCG@10,PSP@10,PSDCG@10,MAP@10,F1@15,Precision@15,Recall@15,NDCG@15,PSP@15,PSDCG@15,MAP@15,F1@20,Precision@20,Recall@20,NDCG@20,PSP@20,PSDCG@20,MAP@20,F1@25,Precision@25,Recall@25,NDCG@25,PSP@25,PSDCG@25,MAP@25,MRR
T2L2-W/O-propagation,1,0.2462,0.1631,0.5587,0.4649,7.8542,24.2328,0.536,0.16,0.093,0.6287,0.4751,7.3681,35.3971,0.5324,0.1169,0.0648,0.6472,0.4942,6.329,41.0074,0.5312,0.0935,0.0505,0.6652,0.5049,5.6976,45.4993,0.5237,0.0799,0.0425,0.6904,0.5152,5.6209,51.2818,0.5162,0.7425
T2L2-W/O-propagation,12,0.2429,0.1609,0.5408,0.4609,7.6124,21.0246,0.5103,0.1569,0.0912,0.5981,0.4706,6.2843,28.9352,0.508,0.1206,0.0668,0.6522,0.4923,6.8276,39.5649,0.5035,0.0966,0.0522,0.6742,0.5057,6.2592,44.905,0.4999,0.0812,0.0433,0.6967,0.5134,6.2315,51.5839,0.497,0.733
T2L2-W/O-propagation,123,0.2455,0.1626,0.5448,0.4744,5.9769,18.5743,0.5317,0.1649,0.0958,0.6296,0.4746,7.1331,32.0002,0.528,0.123,0.0681,0.6587,0.4983,6.6184,39.3609,0.521,0.099,0.0535,0.6844,0.5166,6.008,44.2579,0.5168,0.0829,0.0441,0.6993,0.526,5.7941,49.6307,0.5144,0.7496
T2L2-W/O-propagation,1234,0.2475,0.164,0.5638,0.4475,11.0338,32.6258,0.5194,0.1607,0.0934,0.6165,0.465,8.0219,40.7625,0.5152,0.1195,0.0662,0.6437,0.4856,6.9534,47.2469,0.5107,0.0957,0.0518,0.6718,0.5005,6.9232,55.3536,0.5085,0.0814,0.0433,0.6972,0.5103,6.3756,59.9214,0.5063,0.7432
T2L2-W/O-propagation,12345,0.2402,0.1591,0.543,0.4608,6.7751,20.317,0.5175,0.1611,0.0936,0.6164,0.4631,6.7697,30.9457,0.5147,0.1216,0.0674,0.6586,0.4832,7.1289,41.3811,0.5094,0.0984,0.0532,0.6835,0.5037,7.1906,49.9424,0.5047,0.0827,0.044,0.7034,0.5144,6.5061,54.0909,0.5014,0.7519
T2L2,1,0.1931,0.1288,0.4371,0.2763,1.7243,4.9964,0.4134,0.141,0.082,0.5257,0.2805,1.7169,7.7746,0.4122,0.1071,0.0593,0.5604,0.3062,1.6982,9.9678,0.4096,0.0868,0.0469,0.5892,0.334,1.6563,11.7857,0.4043,0.0746,0.0397,0.6283,0.3512,1.6332,13.4835,0.4043,0.4145
T2L2,12,0.1931,0.1279,0.4173,0.2703,1.7708,5.073,0.3965,0.138,0.0802,0.5207,0.282,1.7772,7.9565,0.4093,0.1034,0.0573,0.5462,0.3069,1.6923,9.9846,0.403,0.0864,0.0467,0.5757,0.3326,1.7586,12.3211,0.3977,0.0725,0.0386,0.5933,0.3514,1.7376,14.1319,0.3964,0.4253
T2L2,123,0.1938,0.1288,0.4371,0.2802,1.7243,4.9964,0.4134,0.141,0.082,0.5257,0.2818,1.7169,7.7487,0.4116,0.1055,0.0585,0.5503,0.3088,1.6221,9.6514,0.408,0.0856,0.0463,0.5751,0.3371,1.5899,11.4254,0.4027,0.0723,0.0385,0.5926,0.3521,1.7337,13.9555,0.3998,0.4177
T2L2,1234,0.1931,0.1279,0.4173,0.292,1.7708,5.0864,0.3997,0.1437,0.0835,0.5317,0.2947,1.8683,8.2218,0.4123,0.1063,0.0589,0.5544,0.3213,2.2046,11.886,0.4093,0.0823,0.0445,0.5584,0.3464,2.5585,16.046,0.4075,0.0677,0.036,0.5651,0.3686,3.5841,24.4155,0.4075,0.4662
T2L2,12345,0.1944,0.1288,0.4371,0.2701,1.7243,4.9964,0.4134,0.1437,0.0835,0.5317,0.274,1.8683,8.2123,0.4121,0.1055,0.0585,0.5566,0.299,1.6305,9.7081,0.4096,0.0874,0.0473,0.5925,0.3276,1.7395,12.1529,0.4036,0.0721,0.0384,0.6022,0.3454,1.5692,13.1116,0.4041,0.3865
